title,author,rating,voters,price,publisher,page_count,published_date
I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,4.4,1130,49.92,Random House,704,18-Jul-13
Civil War: Volume 1,Mark Millar,4.5,5177,51.16,Marvel Entertainment,208,1-Jan-11
The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,4.1,57,62.1,Penguin,336,24-Dec-12
The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,,,98.42,Hachette UK,384,15-Oct-19
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,4.3,135,50.25,HarperCollins,304,5-Sep-17
After Anna,Alex Lake,4.1,1633,20.51,HarperCollins UK,416,30-Jul-15
The Art Of Seduction,Robert Greene,4.5,34,74.99,Profile Books,272,3-Sep-10
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5,6,78.72,Simon and Schuster,592,30-Jun-08
Marketing (The Brian Tracy Success Library),Brian Tracy,,,29.4,AMACOM,112,11-Jun-14
Furies of Calderon,Jim Butcher,4.7,142,14.29,Penguin,672,28-Jun-05
The Art Of Seduction,Robert Greene,4.5,34,74.99,Profile Books,272,3-Sep-10
The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,4.6,580,33.42,Tor Books,704,16-Feb-10
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,352,3.9,Harper Collins,224,13-Oct-09
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,751,88.06,HarperCollins UK,4544,15-Mar-12
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,4.6,10650,39.34,Bantam,720,1-Jan-03
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,4.6,10650,39.34,Bantam,720,1-Jan-03
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,3316,0,Simon and Schuster,320,18-Nov-14
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,42,23.85,Penguin,240,15-Nov-86
Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",4.3,288,56.14,Harper Collins,336,2-Jun-09
Bring Me Back,B A Paris,3.8,124,30.71,HarperCollins UK,368,8-Mar-18
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.3,255,96.12,Harper Collins,320,19-Jul-11
How to Understand Business Finance: Edition 2,Bob Cinnamon,3.5,4,46.85,Kogan Page Publishers,176,3-Apr-10
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,,,98.42,Hachette UK,416,15-Oct-19
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,591,18.72,Morgan Rice,250,1-Jul-15
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,427,33.42,Tor Fantasy,704,20-Jul-10
Batman: Year One,Frank Miller,4.5,1756,59.03,DC,148,10-Jan-07
Attack on Titan: Volume 13,Hajime Isayama,4.6,428,43.28,Kodansha Comics,192,31-Jul-14
How To Win Friends and Influence People,Dale Carnegie,4.3,6615,51.15,Simon and Schuster,320,24-Aug-10
Final Option: 'The best one yet',Clive Cussler,5,3,93.75,Penguin UK,400,14-Nov-19
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,4.7,87,33.14,Andrews McMeel Publishing,144,20-Oct-15
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,4.7,87,33.14,Andrews McMeel Publishing,144,20-Oct-15
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,4.7,223,15.19,DGS,350,3-Nov-15
Rework,Jason Fried,4.1,3650,71.63,Currency,288,9-Mar-10
The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,4,7.5,HarperCollins UK,40,1-Sep-11
Dark Nights: Metal: Deluxe Edition: Issues 1-6,Scott Snyder,4.5,107,118.11,DC Comics,216,12-Jun-18
How To Win Friends and Influence People,Dale Carnegie,4.3,6615,51.15,Simon and Schuster,320,24-Aug-10
The Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,4.7,6,2.73,Courier Corporation,208,11-May-12
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,25,27.53,Wizards of the Coast,352,21-Apr-10
Permanent Record,Edward Snowden,4.6,56,49.58,Metropolitan Books,352,17-Sep-19
The Marine's E-Mail Order Bride: Heroes of Chance Creek Volume 4,Cora Seton,4.7,127,15.72,One Acre Press,300,7-Jan-15
Morning Star,Pierce Brown,4.8,886,62.1,Del Rey,544,9-Feb-16
Now or Never: A Novel,Elizabeth Adler,4.5,14,31.46,Island Books,448,7-Jul-10
Battle Sight Zero,Gerald Seymour,5,1,94.48,Hachette UK,448,10-Jan-19
Shattered Bonds,Faith Hunter,4.8,13,31.46,Penguin,400,29-Oct-19
"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,4.2,408,24.94,HarperCollins UK,416,4-Aug-11
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,453,14.96,Morgan Rice,250,3-Aug-16
The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,4,7.5,HarperCollins UK,40,1-Sep-11
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,453,14.96,Morgan Rice,250,3-Aug-16
Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,4,3695,29.21,HarperCollins UK,304,6-Mar-09
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,47,41.82,Pan Macmillan,112,17-Oct-19
Death Masks,Jim Butcher,4.8,526,39.34,Penguin Group,464,5-Aug-03
"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,4.7,13,72.16,Random House,368,30-Sep-13
Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.3,532,50.25,Harper Collins,304,12-May-14
The Choice of Magic,Michael G. Manning,4.8,124,11.78,Michael Manning,408,16-Aug-19
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,HarperCollins UK,864,24-Feb-11
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,6,4.17,e-artnow,1424,27-Feb-14
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,4.3,206,39.34,Penguin,448,10-Sep-13
Sonic: Tangle & Whisper #3,Ian Flynn,4.3,9,7.84,IDW Publishing,30,23-Oct-19
Auberon,James S. A. Corey,4.7,15,11.78,Hachette UK,112,12-Nov-19
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,399,26.51,HarperCollins UK,400,1-Sep-11
"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,3.9,451,70.85,Marvel Entertainment,136,8-Oct-14
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,4683,51.16,Hachette UK,672,22-Apr-10
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,4.4,14,66.87,Penguin,288,25-Apr-17
My Little Pony: The Feats of Friendship #2,Ian Flynn,5,3,15.72,IDW Publishing,30,30-Oct-19
The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,4.8,18,3.9,Hachette UK,96,3-Jul-14
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,95,33.72,Morgan Rice,500,25-Feb-16
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5,4,98.42,Hachette UK,336,17-Oct-19
"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7,46,62.82,Berrett-Koehler Publishers,144,17-Apr-17
Antiques Con,Barbara Allan,4.8,4,29.9,Kensington Books,288,1-Apr-15
The Art Of Seduction,Robert Greene,4.5,34,74.99,Profile Books,272,3-Sep-10
Maigret Goes to School,Georges Simenon,4,1,47.78,Penguin,176,2-Jan-18
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,4683,51.16,Hachette UK,672,22-Apr-10
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,4.8,90,18.72,Blake Pierce,250,15-Jun-17
Antiques Chop,Barbara Allan,4.5,4,29.9,Kensington Books,240,1-Apr-14
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,84,86.45,Berrett-Koehler Publishers,288,9-Aug-10
Principles: Life and Work,Ray Dalio,4.7,78,59.03,Simon and Schuster,592,19-Sep-17
Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,23,26.15,Kensington Publishing Corp.,288,1-Jul-07
Ask A Footballer,James Milner,,,98.42,Hachette UK,320,31-Oct-19
Young Justice Vol. 1,Art Baltazar,4.1,818,39.34,DC,164,17-Jan-12
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,591,18.72,Morgan Rice,250,1-Jul-15
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,427,33.42,Tor Fantasy,704,20-Jul-10
10 Ways to be less consumerist,James Fries,,,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,15,21-Nov-19
'Salem's Lot,Stephen King,4.4,247,55.1,Hachette UK,300,11-Dec-08
Bring Me Back,B A Paris,3.8,124,30.71,HarperCollins UK,368,8-Mar-18
Team Sonic Racing Plus Deluxe Turbo Championship Edition one-shot,Caleb Goellner,4.8,30,11.78,IDW Publishing,52,22-May-19
Management (The Brian Tracy Success Library),Brian Tracy,,,38.44,AMACOM,112,15-May-14
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,1251,35.44,Harper Collins,336,18-Feb-14
Strawberry Shortcake Murder,Joanne Fluke,4,80,43.36,Kensington Books,304,1-Oct-11
Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,4.1,157,59.03,DC,172,5-Apr-11
Killer Blonde,Laura Levine,4,10,73.67,Kensington Books,288,1-Sep-08
The Black Box,Michael Connelly,4,85,43.28,Hachette UK,448,22-Nov-12
Management (The Brian Tracy Success Library),Brian Tracy,,,38.44,AMACOM,112,15-May-14
Legacy,Shannon Messenger,4.9,46,43.28,Simon and Schuster,816,5-Nov-19
Gangster: A Novel,Lorenzo Carcaterra,4.5,79,31.46,Ballantine Books,384,30-Jul-02
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,4683,51.16,Hachette UK,672,22-Apr-10
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,522,18.72,Morgan Rice,250,7-Sep-15
Final Option: 'The best one yet',Clive Cussler,5,3,93.75,Penguin UK,400,14-Nov-19
"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7,46,62.82,Berrett-Koehler Publishers,144,17-Apr-17
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,95,33.72,Morgan Rice,500,25-Feb-16
Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,4,10,26.15,Kensington Publishing Corp.,320,1-Mar-09
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,119,33.38,Tim Duggan Books,128,28-Feb-17
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,,,98.42,Hachette UK,416,15-Oct-19
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,4.6,407,33.42,Macmillan,688,20-Apr-10
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,100,32.51,Pan Macmillan,245,1-Sep-09
My Little Pony: Friendship is Magic #45,Thom Zahler,4.4,216,15.72,IDW Publishing,31,31-Aug-16
Antiques Knock-Off,Barbara Allan,4.3,9,73.67,Kensington Publishing Corp.,240,1-Apr-12
Thrawn (Star Wars),Timothy Zahn,4.7,588,39.34,Del Rey,448,11-Apr-17
Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,3.9,7,19.65,Sara Rosett,254,30-Apr-16
The Joker,Brian Azzarello,4.4,997,78.73,DC,130,4-Nov-08
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,100,32.51,Pan Macmillan,245,1-Sep-09
Platform: Get Noticed in a Noisy World,Michael Hyatt,4.6,18,73.92,HarperCollins Leadership,288,21-May-12
The Guardians: A Novel,John Grisham,4.5,60,71.63,Doubleday,384,15-Oct-19
Shantaram,Gregory David Roberts,4.5,499,55.1,Hachette UK,944,28-Jun-12
The Burning White: Book Five of Lightbringer,Brent Weeks,4.9,42,98.42,Hachette UK,640,22-Oct-19
Dead Silent,Shirley Wells,4,3,8.85,Harlequin,355,22-Aug-11
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,13,70.7,W. W. Norton & Company,256,28-Mar-16
The Man in the High Castle,Philip K. Dick,4,624,55.17,Houghton Mifflin Harcourt,272,24-Jan-12
Total Control,David Baldacci,4,85,41.82,Pan Macmillan,624,4-Nov-11
Antiques Knock-Off,Barbara Allan,4.3,9,73.67,Kensington Publishing Corp.,240,1-Apr-12
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,4683,51.16,Hachette UK,672,22-Apr-10
Shall We Tell the President?,Jeffrey Archer,4.5,47,41.82,Pan Macmillan,200,1-Apr-11
The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.6,120,43.28,Hachette UK,400,19-May-16
Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,3.9,7,19.65,Sara Rosett,254,30-Apr-16
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,453,14.96,Morgan Rice,250,3-Aug-16
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.7,166,53.11,Abrams,224,5-Nov-19
Auberon,James S. A. Corey,4.7,15,11.78,Hachette UK,112,12-Nov-19
Watching (The Making of Riley Paige—Book 1),Blake Pierce,4.6,483,0,Blake Pierce,250,15-May-18
The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,57,19.28,HarperCollins UK,208,14-Oct-10
15 Delicious Slow Cooker Recipes,Sallie Stone,5,3,0,BookRix,18,28-Oct-19
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,1251,35.44,Harper Collins,336,18-Feb-14
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,6,4.17,e-artnow,1424,27-Feb-14
Dark Age,Pierce Brown,4.8,168,71.63,Del Rey,800,30-Jul-19
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
Marvel Universe Vs. The Punisher: Volume 1,Jonathan Maberry,4.2,661,27.53,Marvel Entertainment,112,5-Jan-11
It,Stephen King,4.5,4260,19.65,Simon and Schuster,1168,1-Jan-16
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,4.3,1354,0,Simon and Schuster,1400,8-Apr-14
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,4.8,90,18.72,Blake Pierce,250,15-Jun-17
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,3316,0,Simon and Schuster,320,18-Nov-14
Find Me: A Novel,André Aciman,4.7,38,46.88,"Farrar, Straus and Giroux",272,29-Oct-19
Dark Matter: A Novel,Blake Crouch,4.4,1408,28.61,Broadway Books,368,26-Jul-16
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,25,27.53,Wizards of the Coast,352,21-Apr-10
Strawberry Shortcake Murder,Joanne Fluke,4,80,43.36,Kensington Books,304,1-Oct-11
The Witcher #1,Paul Tobin,4.6,85,7.84,Dark Horse Comics (Single Issues),24,19-Feb-14
Spider-Man: Anti-Venom,Dan Slott,4,1701,19.65,Marvel Entertainment,96,10-Mar-10
Battle Sight Zero,Gerald Seymour,5,1,94.48,Hachette UK,448,10-Jan-19
The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,4.1,57,62.1,Penguin,336,24-Dec-12
Kingdom Of Strangers,Zoe Ferraris,4.5,10,39.34,Hachette UK,368,7-Jun-12
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,119,33.38,Tim Duggan Books,128,28-Feb-17
In Dark Company: A Kate Burkholder Short Story,Linda Castillo,4.3,6,6.64,Minotaur Books,60,29-May-18
The Infinite Game,Simon Sinek,3.8,4,71.63,Penguin,272,15-Oct-19
Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.8,4532,88.69,Harper Collins,336,17-Feb-10
Killer Blonde,Laura Levine,4,10,73.67,Kensington Books,288,1-Sep-08
Total Control,David Baldacci,4,85,41.82,Pan Macmillan,624,4-Nov-11
Permanent Record,Edward Snowden,4.6,56,49.58,Metropolitan Books,352,17-Sep-19
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,1251,35.44,Harper Collins,336,18-Feb-14
Kiss the Girls and Make Them Cry,Mary Higgins Clark,4,1,42.26,Simon and Schuster,400,14-Nov-19
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,4.6,250,55.09,Simon and Schuster,544,1-Nov-07
The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,4.7,1780,36.79,Tor Books,688,15-Sep-00
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,84,86.45,Berrett-Koehler Publishers,288,9-Aug-10
15 Delicious Slow Cooker Recipes,Sallie Stone,5,3,0,BookRix,18,28-Oct-19
Moby Dick. Illustrated edition,Melville Herman,5,3,0.17,Strelbytskyy Multimedia Publishing,771,28-Feb-18
Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,3.8,4,29.55,HarperCollins Leadership,112,1-Apr-03
Legacy,Shannon Messenger,4.9,46,43.28,Simon and Schuster,816,5-Nov-19
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,453,14.96,Morgan Rice,250,3-Aug-16
Letting Go,"David R. Hawkins, M.D./Ph.D.",4.6,33,74.78,"Hay House, Inc",176,1-Aug-13
10 Ways to be annoying,James Fries,,,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,17,21-Nov-19
Shall We Tell the President?,Jeffrey Archer,4.5,47,41.82,Pan Macmillan,200,1-Apr-11
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,4.6,407,33.42,Macmillan,688,20-Apr-10
The Guardians: A Novel,John Grisham,4.5,60,71.63,Doubleday,384,15-Oct-19
Final Option,Clive Cussler,4.9,11,71.63,Penguin,400,5-Nov-19
Rogues,George R. R. Martin,4.1,127,52.54,Bantam,832,17-Jun-14
That Time I got Reincarnated as a Slime 11,Story by FUSE,5,13,43.28,Kodansha America LLC,208,15-Oct-19
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,4750,62.1,Random House,416,28-Feb-12
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,383,43.28,Hachette UK,400,21-May-15
You'll Never See Daylight Again,Michaella McCollum,4.3,6,42.16,Kings Road Publishing,476,31-Oct-19
Watching (The Making of Riley Paige—Book 1),Blake Pierce,4.6,483,0,Blake Pierce,250,15-May-18
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,4.6,10650,39.34,Bantam,720,1-Jan-03
The Mysterious Affair at Styles,Agatha Christie,4.4,8,8.7,HarperCollins UK,208,17-Jan-13
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,Bookouture,357,1-Nov-19
Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,3.3,10,66.91,Marvel Entertainment,160,30-Nov-16
Mrs. Pollifax Unveiled,Dorothy Gilman,3.9,21,31.46,Ballantine Books,208,31-May-00
Blue Moon: A Jack Reacher Novel,Lee Child,4.4,85,71.63,Dell,368,29-Oct-19
A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,4.5,1799,39.34,Bantam,1040,12-Jul-11
Home Work: A Memoir of My Hollywood Years,Julie Andrews,5,1,98.42,Hachette UK,352,15-Oct-19
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,577,28.54,HarperCollins UK,544,8-Jan-09
